duration,packet_size,failed_logins,request_rate,Attack_Label
980,1495,5,397,1
539,1276,0,158,0
818,599,6,137,1
230,723,9,247,1
534,355,3,181,0
687,1411,10,170,1
914,1134,0,170,0
553,1480,2,79,0
358,865,3,39,0
553,791,6,86,1
557,540,7,328,1
48,246,8,455,1
521,1207,2,441,1
991,619,4,358,1
713,788,0,92,0
411,1430,0,206,0
509,565,5,125,0
719,194,10,366,1
129,1123,1,257,0
989,694,2,19,0
388,959,0,358,1
720,249,8,493,1
581,493,8,446,1
308,81,1,185,0
297,443,5,477,1
617,825,10,343,1
628,1065,1,201,0
709,974,10,319,1
805,20,0,420,1
36,1060,0,182,0
440,961,8,339,1
944,784,3,330,1
527,508,10,119,1
269,569,10,237,1
265,1168,3,500,1
89,1390,6,411,1
513,781,3,293,0
482,217,7,374,1
708,496,10,396,1
578,556,7,143,1
607,680,7,139,1
585,145,2,105,0
881,145,3,419,1
552,712,4,328,1
792,1069,9,466,1
447,822,9,76,1
199,941,7,178,1
861,411,3,190,0
992,1202,1,481,1
452,1250,4,124,0
678,235,2,332,1
994,237,2,133,0
846,1200,9,427,1
906,1437,7,51,1
83,452,6,207,1
198,1060,7,360,1
339,822,2,172,0
101,1151,3,425,1
551,614,7,458,1
871,1140,3,77,0
297,910,7,160,1
274,1453,0,121,0
133,958,4,156,0
83,617,0,382,1
11,1251,4,440,1
671,1171,5,56,0
385,1021,3,343,1
522,931,10,444,1
920,1355,0,350,1
497,395,2,3,0
653,507,0,430,1
694,1189,9,71,1
595,494,7,184,1
812,805,3,147,0
742,1013,8,250,1
89,153,7,108,1
933,688,3,421,1
659,1264,6,301,1
856,1041,0,136,0
403,1092,9,326,1
297,1359,3,184,0
780,628,6,136,1
879,1345,1,261,0
678,1187,3,475,1
30,374,0,244,0
882,340,6,237,1
380,273,3,65,0
162,471,5,35,0
464,658,9,354,1
35,1424,3,39,0
567,338,0,83,0
924,669,10,295,1
276,1056,10,487,1
641,445,8,364,1
815,144,1,397,1
467,779,5,154,0
865,696,3,458,1
991,735,2,262,0
706,138,9,342,1
932,531,5,66,0
404,1388,10,108,1
314,586,7,406,1
957,1293,10,35,1
733,214,8,482,1
918,182,2,201,0
830,588,2,273,0
913,1227,10,147,1
695,218,6,36,1
534,498,3,455,1
267,1138,10,23,1
22,647,7,424,1
793,380,8,219,1
562,1130,7,289,1
529,1306,3,261,0
594,418,8,214,1
739,1205,9,161,1
412,339,1,137,0
526,883,0,351,1
726,754,7,2,1
508,834,6,490,1
871,763,10,202,1
828,1160,10,453,1
264,948,1,371,1
70,1060,5,451,1
598,257,6,95,1
256,508,10,327,1
334,708,10,177,1
535,172,0,362,1
287,706,5,402,1
951,1290,1,368,1
901,1001,7,475,1
709,848,1,307,1
705,1328,0,433,1
167,942,1,1,0
196,1123,3,388,1
638,1489,7,455,1
789,422,6,415,1
565,1230,6,395,1
127,1311,10,192,1
108,370,2,89,0
74,1372,9,162,1
741,538,8,128,1
99,35,8,84,1
438,480,6,492,1
881,823,9,86,1
96,777,8,216,1
830,1183,6,153,1
763,160,6,58,1
593,604,9,239,1
755,1078,7,216,1
639,1193,2,165,0
156,1441,10,344,1
833,190,1,233,0
572,423,6,316,1
587,1367,1,155,0
783,1002,7,353,1
530,140,8,480,1
954,531,2,57,0
80,894,4,306,1
454,604,1,368,1
574,737,4,407,1
989,221,1,210,0
763,491,1,85,0
936,1027,3,444,1
678,164,2,318,1
485,403,10,217,1
20,375,0,443,1
196,303,6,242,1
856,272,6,372,1
553,647,5,172,0
765,1460,7,67,1
198,940,6,53,1
229,914,2,464,1
657,647,9,27,1
984,1412,5,265,0
981,131,4,469,1
211,76,9,439,1
282,220,9,73,1
966,1460,5,9,0
771,660,0,422,1
571,1164,3,375,1
758,113,8,91,1
555,493,0,402,1
520,192,9,409,1
260,1263,4,194,0
106,1084,0,425,1
238,452,3,213,0
542,1277,0,183,0
297,253,0,281,0
936,84,1,65,0
192,1457,9,243,1
212,507,2,230,0
692,1002,0,170,0
256,1280,1,464,1
613,767,10,8,1
113,261,7,64,1
261,913,1,194,0
653,28,0,94,0
99,1256,6,250,1
611,1184,5,279,0
505,264,7,102,1
548,123,8,438,1
528,944,1,47,0
422,1364,10,243,1
431,1165,2,260,0
875,688,7,470,1
723,33,5,132,0
385,733,7,460,1
872,600,1,184,0
250,91,5,425,1
434,194,2,497,1
767,1099,4,483,1
64,75,7,427,1
834,1112,8,178,1
524,1147,8,123,1
234,547,1,28,0
102,482,6,249,1
594,1029,5,200,0
533,140,10,114,1
43,924,4,88,0
169,518,4,427,1
205,270,8,207,1
827,1396,5,13,0
48,235,1,53,0
697,1167,9,421,1
687,361,3,416,1
250,789,6,82,1
901,1217,6,246,1
154,761,7,258,1
110,1100,0,440,1
23,826,0,350,1
450,1269,3,125,0
268,826,7,249,1
333,639,3,471,1
757,588,7,477,1
360,1407,4,464,1
940,866,8,57,1
255,623,8,485,1
867,329,6,454,1
288,1108,5,281,0
467,1087,7,56,1
507,540,10,440,1
216,1011,10,133,1
972,676,8,185,1
399,1201,0,382,1
928,1378,6,105,1
147,1324,2,177,0
546,1353,8,330,1
742,565,4,109,0
319,506,5,466,1
672,445,3,151,0
681,821,6,315,1
221,1158,7,28,1
65,905,10,73,1
794,780,0,205,0
630,309,10,52,1
837,883,3,166,0
80,723,2,85,0
260,1096,7,143,1
569,348,10,361,1
982,1469,5,355,1
836,364,4,71,0
197,238,3,33,0
941,1286,4,457,1
319,960,9,246,1
845,299,5,350,1
402,666,4,207,0
402,1314,9,227,1
716,709,10,295,1
583,592,2,418,1
154,265,2,486,1
419,1168,1,396,1
429,318,5,283,0
550,87,0,413,1
365,211,4,87,0
947,574,10,235,1
364,310,1,18,0
160,344,7,295,1
51,1439,1,441,1
380,1006,7,320,1
842,1334,7,340,1
58,38,0,13,0
653,257,8,498,1
481,895,3,418,1
26,218,10,102,1
153,1327,0,376,1
591,651,0,9,0
75,696,9,325,1
253,1356,10,214,1
653,212,3,409,1
921,289,3,116,0
419,1243,6,158,1
134,781,4,492,1
36,336,3,448,1
970,392,1,99,0
931,161,9,303,1
672,635,2,226,0
193,1240,1,399,1
275,895,6,360,1
982,809,1,359,1
735,446,5,38,0
510,867,8,166,1
48,1012,8,43,1
321,180,2,23,0
423,935,5,84,0
521,278,9,320,1
185,211,8,164,1
646,275,0,476,1
342,1104,8,152,1
579,1244,5,175,0
271,95,2,100,0
428,1467,2,398,1
958,226,4,275,0
236,50,0,436,1
128,939,2,296,0
831,156,1,403,1
770,1268,6,60,1
591,921,1,270,0
524,227,8,319,1
350,87,2,463,1
53,508,3,83,0
372,277,6,384,1
356,163,0,198,0
539,717,2,39,0
757,895,8,496,1
497,216,9,248,1
988,239,4,37,0
571,545,5,400,1
118,291,6,409,1
808,41,3,120,0
517,134,2,176,0
199,171,9,147,1
144,672,1,176,0
833,850,7,150,1
17,1177,4,19,0
910,621,8,58,1
77,957,2,105,0
904,1327,2,31,0
999,976,9,66,1
817,827,1,84,0
123,913,5,376,1
853,1360,0,490,1
826,159,7,495,1
276,1474,3,48,0
573,457,2,360,1
86,620,5,238,0
898,1340,9,98,1
509,23,1,389,1
484,1037,1,129,0
628,867,3,481,1
504,269,4,473,1
975,1485,0,58,0
780,1129,2,128,0
987,946,5,139,0
814,1026,9,295,1
510,896,4,36,0
251,834,6,207,1
558,62,7,72,1
360,21,7,280,1
592,774,7,256,1
323,1133,6,131,1
369,553,10,322,1
550,91,2,434,1
274,1026,10,240,1
685,227,3,91,0
499,829,1,51,0
196,534,7,220,1
893,134,0,225,0
900,952,6,206,1
836,422,7,224,1
436,34,4,148,0
302,198,2,263,0
708,870,3,145,0
924,776,3,159,0
111,1477,1,55,0
157,910,3,313,1
917,1432,3,212,0
306,496,1,16,0
489,1335,4,170,0
387,448,0,146,0
480,211,9,496,1
129,1228,6,379,1
666,1238,7,331,1
849,821,7,201,1
941,183,2,273,0
179,667,9,428,1
636,503,9,254,1
645,1345,0,307,1
348,317,6,456,1
42,747,4,219,0
287,91,9,6,1
373,1332,1,258,0
905,258,5,496,1
806,472,9,110,1
854,1381,4,216,0
451,1087,3,427,1
374,722,5,48,0
600,1045,6,95,1
255,424,0,175,0
10,864,1,237,0
593,956,10,74,1
343,634,5,236,0
974,528,4,113,0
417,1495,0,180,0
420,361,6,435,1
961,1414,3,468,1
432,572,10,130,1
636,199,7,186,1
383,308,4,394,1
589,1162,9,400,1
138,338,3,264,0
564,755,5,373,1
616,1458,7,370,1
895,1038,8,496,1
937,856,9,103,1
340,475,3,484,1
263,548,6,225,1
842,1172,5,175,0
412,1146,7,280,1
693,651,4,253,0
657,824,4,282,0
587,1068,5,210,0
962,356,5,63,0
324,202,2,300,0
81,506,2,89,0
259,1172,1,332,1
771,946,5,458,1
542,960,9,177,1
343,716,9,98,1
241,516,1,195,0
92,1183,0,447,1
814,1270,8,240,1
776,358,3,205,0
428,243,8,297,1
678,887,9,146,1
556,824,3,76,0
120,318,4,276,0
61,1077,8,25,1
346,790,1,372,1
467,772,10,229,1
393,591,7,403,1
960,524,10,305,1
869,1434,6,119,1
575,1298,9,461,1
347,930,2,325,1
915,649,9,95,1
138,654,2,156,0
236,972,4,265,0
627,835,3,319,1
692,125,7,379,1
524,138,8,16,1
364,590,2,361,1
807,725,7,290,1
21,575,6,154,1
115,1135,5,481,1
775,1155,2,482,1
528,38,10,25,1
921,464,2,288,0
799,1319,6,212,1
350,1492,6,411,1
343,1059,2,238,0
94,46,0,32,0
195,1254,5,234,0
746,327,9,151,1
408,415,9,5,1
791,1209,10,30,1
820,657,3,315,1
77,469,8,374,1
911,485,0,138,0
11,334,10,245,1
231,758,9,189,1
272,917,0,80,0
239,482,6,217,1
895,740,2,479,1
2,1144,3,485,1
801,702,9,415,1
437,1247,2,250,0
945,780,0,128,0
810,179,5,32,0
623,964,7,21,1
392,974,6,188,1
768,1274,5,353,1
796,1422,3,465,1
730,1235,0,196,0
933,628,3,20,0
736,235,0,179,0
730,1462,5,455,1
124,792,2,28,0
210,86,7,459,1
582,1487,4,340,1
36,931,6,6,1
970,540,3,432,1
61,435,5,210,0
47,431,4,92,0
461,776,7,462,1
54,808,6,253,1
254,125,8,379,1
262,760,5,416,1
552,400,2,82,0
842,606,2,73,0
658,1173,7,72,1
260,1353,5,480,1
169,943,9,479,1
31,1068,8,293,1
170,514,9,398,1
434,920,9,267,1
973,335,8,40,1
683,498,3,204,0
783,312,5,380,1
911,418,6,7,1
396,1206,0,218,0
551,980,3,377,1
681,921,4,164,0
609,783,10,226,1
929,692,4,28,0
196,946,4,296,0
826,485,10,449,1
366,999,0,229,0
337,385,0,352,1
75,355,3,187,0
189,771,6,247,1
820,137,4,181,0
589,1070,9,303,1
86,167,1,147,0
111,1448,8,306,1
571,154,5,343,1
150,1338,7,9,1
256,485,10,140,1
868,873,2,1,0
54,849,3,212,0
407,459,1,153,0
65,715,9,267,1
388,1358,8,229,1
546,630,1,404,1
859,1185,8,284,1
905,1062,7,273,1
916,195,6,289,1
961,224,0,50,0
401,307,4,79,0
916,1064,8,267,1
321,1466,9,208,1
655,1251,8,486,1
470,1224,8,208,1
593,347,3,64,0
79,1010,6,165,1
551,1162,8,399,1
590,851,8,468,1
512,345,2,396,1
205,489,9,403,1
599,1224,9,167,1
613,420,0,383,1
840,200,8,329,1
848,749,4,42,0
171,448,2,242,0
386,1261,8,442,1
257,482,10,388,1
998,473,3,500,1
647,252,5,147,0
978,796,9,42,1
162,1186,7,112,1
314,1087,0,287,0
832,1481,0,494,1
358,958,10,284,1
304,510,2,131,0
397,604,0,36,0
123,850,8,401,1
835,1009,10,13,1
862,876,7,80,1
959,334,10,144,1
40,1380,3,359,1
410,667,7,75,1
814,690,2,350,1
901,898,5,346,1
373,423,8,176,1
898,652,6,40,1
821,378,5,401,1
232,791,5,203,0
467,1287,4,456,1
227,242,2,13,0
191,945,4,165,0
691,623,7,132,1
282,1234,0,462,1
350,731,7,78,1
486,1480,1,270,0
257,1134,4,426,1
669,892,1,321,1
602,531,2,389,1
98,301,9,388,1
631,963,8,381,1
406,585,6,88,1
471,677,8,140,1
514,1059,9,112,1
608,1498,5,471,1
678,953,2,115,0
120,786,9,352,1
577,837,4,80,0
876,505,3,92,0
554,755,1,400,1
466,992,7,330,1
567,847,7,463,1
607,1420,6,50,1
446,591,8,139,1
272,1408,2,439,1
801,250,2,424,1
15,855,3,336,1
62,366,1,353,1
668,978,0,374,1
373,686,5,342,1
544,690,2,22,0
219,1382,10,32,1
381,1219,8,94,1
267,1378,0,484,1
620,1353,8,243,1
34,914,0,128,0
272,1496,9,309,1
660,1363,9,151,1
784,442,9,141,1
776,812,9,413,1
960,1052,8,281,1
360,1435,7,497,1
734,1364,5,416,1
16,1200,5,325,1
364,802,4,280,0
345,357,10,457,1
840,93,3,2,0
388,325,1,468,1
306,918,4,362,1
479,1416,2,60,0
301,106,3,436,1
296,678,9,242,1
653,425,2,147,0
236,299,5,308,1
614,658,5,108,0
756,271,9,489,1
980,319,2,131,0
203,960,4,229,0
113,1237,2,473,1
945,1315,0,304,1
341,545,6,457,1
717,207,2,291,0
288,428,10,274,1
786,864,3,3,0
183,478,2,243,0
306,962,1,81,0
836,861,6,338,1
186,349,3,149,0
303,1405,6,489,1
192,776,9,169,1
813,1039,1,204,0
351,1420,2,155,0
492,1092,7,99,1
454,1337,9,412,1
563,112,9,199,1
38,787,0,289,0
992,736,1,356,1
273,1095,9,288,1
585,1413,5,301,1
446,830,5,401,1
870,1148,4,24,0
127,1371,10,143,1
802,233,5,12,0
26,614,4,45,0
307,862,5,7,0
625,493,1,87,0
62,1281,8,479,1
909,803,10,109,1
5,180,0,161,0
416,1440,6,421,1
173,21,3,108,0
496,344,6,235,1
714,343,5,456,1
150,1032,2,304,1
885,406,3,412,1
327,963,8,307,1
418,705,6,185,1
595,1471,8,454,1
458,21,0,50,0
999,779,9,374,1
288,1270,3,337,1
877,1477,0,380,1
997,1077,9,253,1
317,454,5,315,1
280,733,4,66,0
812,998,8,386,1
677,188,9,159,1
646,793,6,391,1
681,302,4,384,1
594,454,2,35,0
19,1420,9,233,1
103,325,6,24,1
71,342,6,234,1
68,1442,3,414,1
840,1145,8,142,1
88,1417,8,311,1
917,334,4,379,1
425,182,6,236,1
228,574,6,487,1
464,508,8,98,1
888,75,4,499,1
523,519,6,270,1
133,1005,8,353,1
432,81,7,188,1
44,711,4,462,1
870,635,2,4,0
18,420,1,335,1
821,448,7,137,1
101,643,9,489,1
81,542,1,3,0
107,1290,6,177,1
509,86,10,238,1
434,531,4,26,0
385,947,9,110,1
575,927,0,229,0
519,823,3,469,1
209,35,5,190,0
548,1347,8,299,1
446,69,2,287,0
548,744,10,439,1
681,428,4,81,0
487,929,5,455,1
67,91,0,485,1
150,912,2,48,0
894,332,8,175,1
702,659,7,187,1
835,394,10,119,1
607,783,5,143,0
224,1153,7,438,1
541,1070,6,39,1
168,584,0,81,0
418,96,8,14,1
691,1311,2,362,1
287,181,10,373,1
316,1364,6,379,1
383,288,5,198,0
623,612,5,24,0
211,915,5,364,1
584,1441,5,136,0
872,889,7,96,1
270,500,1,231,0
844,994,3,233,0
469,942,4,258,0
436,418,1,135,0
701,364,10,170,1
132,861,5,161,0
503,112,0,150,0
687,1093,9,151,1
682,156,10,453,1
507,859,5,445,1
232,222,1,350,1
94,859,8,361,1
712,1485,0,9,0
489,1397,9,451,1
610,807,0,332,1
967,1138,3,53,0
220,749,9,200,1
778,823,2,237,0
712,456,8,8,1
335,1118,8,39,1
541,1437,9,460,1
345,179,7,42,1
816,168,8,155,1
122,324,6,115,1
937,748,7,480,1
157,1477,8,452,1
76,1201,6,47,1
706,751,7,435,1
530,1242,0,387,1
888,1451,7,368,1
577,554,10,280,1
561,380,5,40,0
838,1329,6,205,1
998,76,9,207,1
583,1273,9,401,1
447,395,8,395,1
62,1383,2,397,1
863,271,2,37,0
659,620,10,292,1
670,983,0,37,0
60,833,6,411,1
554,807,6,169,1
31,1027,5,442,1
681,379,5,12,0
364,1155,1,241,0
398,302,9,450,1
431,543,5,121,0
424,270,9,149,1
129,1007,3,378,1
958,896,5,393,1
55,1155,8,19,1
254,174,7,236,1
245,1315,4,219,0
28,804,1,174,0
280,1424,4,133,0
780,1109,9,162,1
613,159,3,108,0
744,889,2,164,0
410,1157,5,139,0
138,1376,1,310,1
849,897,3,167,0
749,1389,10,330,1
820,1402,8,459,1
105,1398,10,387,1
658,419,1,63,0
222,1326,0,275,0
667,1285,3,434,1
2,972,4,41,0
195,351,0,164,0
126,608,6,20,1
709,582,8,3,1
540,278,4,245,0
823,290,10,26,1
34,1297,1,123,0
641,1391,6,360,1
11,879,10,315,1
54,39,10,226,1
465,490,6,458,1
182,867,7,38,1
230,157,2,73,0
363,197,2,465,1
141,212,8,209,1
506,1477,8,7,1
751,342,8,442,1
599,752,2,136,0
154,396,3,263,0
707,990,9,467,1
550,1473,2,419,1
781,1157,9,437,1
847,539,3,232,0
49,583,6,224,1
14,1093,3,353,1
84,727,8,353,1
742,1240,2,129,0
909,824,5,169,0
559,300,4,228,0
12,1064,4,435,1
704,905,7,26,1
909,1173,9,89,1
666,403,7,185,1
491,904,0,497,1
691,158,8,240,1
881,855,1,365,1
240,1266,7,345,1
108,213,5,96,0
432,771,4,13,0
927,1101,9,361,1
236,1317,2,16,0
139,987,9,488,1
275,37,9,256,1
346,1472,5,412,1
389,1121,10,214,1
262,851,8,381,1
918,710,0,444,1
924,898,7,223,1
878,1189,8,279,1
809,1425,10,222,1
170,1244,9,143,1
842,55,9,152,1
975,1192,3,406,1
859,1012,5,32,0
338,1038,10,398,1
909,1258,3,255,0
17,1022,5,436,1
464,1223,1,229,0
368,728,3,334,1
583,1106,0,454,1
183,880,4,453,1
686,1198,2,130,0
978,815,7,409,1
614,164,3,86,0
564,1057,7,182,1
82,165,9,271,1
930,308,9,76,1
142,471,10,309,1
787,1042,5,48,0
784,40,0,415,1
347,976,10,422,1
192,1420,1,64,0
270,211,4,447,1
553,90,4,65,0
925,49,0,274,0
772,605,0,220,0
501,768,8,100,1
872,962,0,324,1
705,1256,2,468,1
735,525,6,175,1
143,338,6,198,1
745,1268,10,409,1
350,1027,7,226,1
552,433,2,4,0
68,749,3,132,0
569,1139,5,175,0
614,493,5,217,0
886,175,4,247,0
244,1257,6,93,1
753,503,3,241,0
420,882,4,93,0
38,219,4,490,1
523,159,8,338,1
813,766,1,141,0
170,1096,8,211,1
151,678,3,50,0
617,833,2,125,0
441,173,3,283,0
330,1227,0,307,1
885,939,8,456,1
119,206,9,56,1
295,48,2,8,0
793,1351,6,194,1
292,154,7,476,1
395,593,7,9,1
842,110,0,183,0
775,1065,0,82,0
566,1039,8,349,1
607,879,9,74,1
907,1461,7,47,1
491,968,1,164,0
583,1312,1,232,0
883,891,6,60,1
408,1469,0,316,1
883,1023,5,403,1
958,1259,7,165,1
344,927,5,221,0
722,78,4,73,0
693,75,1,418,1
363,338,5,408,1
888,298,1,428,1
700,144,2,474,1
913,772,1,108,0
509,1095,1,190,0
503,734,1,88,0
709,1175,10,58,1
956,1218,5,300,0
155,855,2,129,0
267,68,1,392,1
866,575,4,321,1
99,501,2,482,1
651,145,10,158,1
890,1028,5,300,0
359,1018,4,227,0
883,297,1,389,1
823,1380,3,386,1
684,992,1,83,0
767,967,4,20,0
149,858,8,137,1
835,535,3,342,1
741,553,10,276,1
580,521,1,425,1
251,76,5,311,1
192,1370,9,440,1
134,576,9,428,1
811,384,10,483,1
437,632,8,384,1
451,824,10,201,1
834,418,7,153,1
664,1122,1,394,1
837,998,6,105,1
75,62,9,385,1
257,487,8,377,1
874,312,8,62,1
110,38,8,152,1
290,51,8,346,1
168,414,8,485,1
655,356,4,266,0
445,426,7,398,1
15,130,10,472,1
484,268,3,170,0
668,806,5,427,1
390,450,5,276,0
266,1015,9,69,1
652,699,8,294,1
385,466,4,141,0
454,1454,5,297,0
49,377,7,119,1
263,378,8,390,1
181,433,1,249,0
804,1288,3,184,0
43,1458,2,44,0
437,407,3,338,1
160,1273,5,366,1
731,386,6,419,1
720,1067,10,142,1
674,1054,2,213,0
799,1074,4,54,0
641,166,5,143,0
915,539,4,328,1
777,382,9,138,1
23,1221,5,473,1
98,892,7,292,1
82,1309,8,461,1
335,1035,7,131,1
273,374,6,245,1
865,1469,2,167,0
140,695,10,76,1
155,228,10,64,1
982,1129,1,39,0
150,1180,0,334,1
385,996,7,184,1
575,853,5,14,0
810,539,6,323,1
310,726,10,14,1
799,1010,6,325,1
560,1356,1,448,1
122,1147,8,425,1
759,894,9,61,1
302,637,2,323,1
944,491,7,127,1
349,1277,1,315,1
106,832,0,221,0
208,1025,7,334,1
637,683,2,108,0
455,199,5,347,1
177,296,5,56,0
433,1163,10,52,1
431,762,2,63,0
43,918,0,458,1
161,1271,8,350,1
221,525,9,372,1
840,1195,6,143,1
858,472,5,212,0
714,947,5,102,0
85,1422,2,359,1
933,137,10,263,1
162,1103,2,292,0
471,944,3,147,0
708,1421,10,297,1
774,1448,6,227,1
70,660,10,436,1
920,508,5,83,0
577,1319,7,25,1
202,1392,5,151,0
474,562,7,439,1
592,796,9,480,1
563,213,7,150,1
713,1329,7,445,1
175,750,5,276,0
930,1015,4,153,0
900,269,1,228,0
669,1325,9,480,1
404,712,3,466,1
721,609,8,59,1
775,1195,1,257,0
969,777,3,264,0
554,1051,5,96,0
641,815,9,117,1
263,620,5,75,0
665,282,4,15,0
737,523,1,61,0
65,430,5,77,0
7,737,9,419,1
472,356,4,143,0
397,1303,5,348,1
795,198,1,465,1
901,1188,7,307,1
199,516,1,51,0
60,1023,8,276,1
747,370,9,306,1
57,1406,0,54,0
383,380,1,7,0
781,522,0,259,0
469,1365,1,145,0
344,1261,7,484,1
983,162,3,353,1
596,49,0,367,1
771,562,9,167,1
313,1397,3,152,0
459,86,2,177,0
293,545,0,127,0
558,469,4,409,1
829,809,8,459,1
526,596,0,18,0
83,140,7,203,1
39,496,2,335,1
38,398,9,66,1
191,783,10,487,1
